StudentID,Program,StudyHours,QuizScore,MidtermScore,FinalScore,Attendance,LearningModality
1001,BSIT,12,84,87,90,96,Face-to-Face
1002,BSCS,10,88,91,93,94,Blended
1003,BSDS,8,79,82,85,91,Online
1004,BSIT,6,75,78,80,88,Face-to-Face
1005,BSCS,14,92,95,97,98,Blended
1006,BSDS,11,86,89,91,95,Online
1007,BSIT,9,81,84,86,92,Online
1008,BSCS,7,77,80,83,89,Face-to-Face
1009,BSDS,15,94,96,98,99,Blended
1010,BSIT,5,70,74,76,85,Face-to-Face
1011,BSCS,13,89,90,94,96,Online
1012,BSDS,10,83,85,88,93,Blended
1013,BSIT,16,95,97,99,100,Blended
1014,BSCS,8,80,84,87,90,Face-to-Face
1015,BSDS,6,74,78,81,87,Online
1016,BSIT,11,87,89,92,94,Online
1017,BSCS,9,85,88,90,95,Blended
1018,BSDS,12,91,93,95,97,Face-to-Face
1019,BSIT,7,78,81,84,89,Online
1020,BSCS,15,93,94,96,98,Blended
1021,BSDS,9,82,84,86,92,Face-to-Face
1022,BSIT,13,90,92,94,97,Blended
1023,BSCS,6,72,76,79,86,Online
1024,BSDS,14,88,91,93,96,Face-to-Face
1025,BSIT,10,84,86,89,93,Online
1026,BSCS,11,86,89,91,94,Blended
1027,BSDS,7,76,80,82,88,Online
1028,BSIT,15,92,95,97,99,Face-to-Face
1029,BSCS,8,81,83,85,90,Online
1030,BSDS,10,85,87,89,94,Blended
1031,BSIT,12,89,91,93,96,Face-to-Face
1032,BSCS,5,69,73,75,84,Online
1033,BSDS,13,90,92,94,97,Blended
1034,BSIT,8,79,82,85,91,Online
1035,BSCS,14,91,94,96,98,Face-to-Face
1036,BSDS,6,73,77,80,86,Online
1037,BSIT,11,86,88,91,95,Blended
1038,BSCS,9,83,86,88,92,Face-to-Face
1039,BSDS,15,95,97,99,100,Blended
1040,BSIT,7,77,81,83,89,Online
1041,BSCS,12,88,90,92,96,Blended
1042,BSDS,8,80,83,85,90,Face-to-Face
1043,BSIT,14,93,95,97,99,Blended
1044,BSCS,10,84,87,89,93,Online
1045,BSDS,11,87,89,92,95,Face-to-Face
1046,BSIT,6,71,75,78,85,Online
1047,BSCS,13,90,93,95,97,Blended
1048,BSDS,9,82,85,87,91,Online
1049,BSIT,16,96,98,99,100,Face-to-Face
1050,BSCS,7,78,82,84,88,Blended
